year,term,time,sales
7,4,2016-11-01,31
7,4,2016-11-02,97
7,4,2016-11-03,36
7,4,2016-11-04,51
7,4,2016-11-05,43
7,4,2016-11-06,32
7,4,2016-11-07,17
7,4,2016-11-08,29
7,4,2016-11-09,69
7,4,2016-11-10,16400
7,4,2016-11-11,11404
7,4,2016-11-12,5178
7,4,2016-11-13,4777
7,4,2016-11-14,4464
7,4,2016-11-15,4683
7,4,2016-11-16,108
7,4,2016-11-17,126
7,4,2016-11-18,8033
7,4,2016-11-19,1794
7,4,2016-11-20,1214
7,4,2016-11-21,810
7,4,2016-11-22,550
7,4,2016-11-23,454
7,4,2016-11-24,523
7,4,2016-11-25,381
7,4,2016-11-26,538
7,4,2016-11-27,562
7,4,2016-11-28,353
7,4,2016-11-29,304
7,4,2016-11-30,310
7,4,2016-12-01,324
7,4,2016-12-02,377
7,4,2016-12-03,458
7,4,2016-12-04,492
7,4,2016-12-05,379
7,4,2016-12-06,293
7,4,2016-12-07,290
7,4,2016-12-08,282
7,4,2016-12-09,348
7,4,2016-12-10,471
7,4,2016-12-11,563
7,4,2016-12-12,828
7,4,2016-12-13,388
7,4,2016-12-14,332
7,4,2016-12-15,384
7,4,2016-12-16,373
7,4,2016-12-17,479
7,4,2016-12-18,533
7,4,2016-12-19,391
7,4,2016-12-20,340
7,4,2016-12-21,313
7,4,2016-12-22,376
7,4,2016-12-23,435
7,4,2016-12-24,686
7,4,2016-12-25,974
7,4,2016-12-26,1190
7,4,2016-12-27,322
7,4,2016-12-28,319
7,4,2016-12-29,305
7,4,2016-12-30,322
7,4,2016-12-31,448
7,4,2017-01-01,420
7,4,2017-01-02,533
7,4,2017-01-03,417
7,4,2017-01-04,397
7,4,2017-01-05,420
7,4,2017-01-06,563
7,4,2017-01-07,786
7,4,2017-01-08,820
7,4,2017-01-09,774
7,4,2017-01-10,754
7,4,2017-01-11,954
7,4,2017-01-12,716
7,4,2017-01-13,886
7,4,2017-01-14,960
7,4,2017-01-15,1015
7,4,2017-01-16,866
7,4,2017-01-17,802
7,4,2017-01-18,1007
7,4,2017-01-19,460
7,4,2017-01-20,380
7,4,2017-01-21,349
7,4,2017-01-22,305
7,4,2017-01-23,272
7,4,2017-01-24,254
7,4,2017-01-25,133
7,4,2017-01-26,9
7,4,2017-01-27,7
7,4,2017-01-28,5
7,4,2017-01-29,11
7,4,2017-01-30,6
7,4,2017-01-31,7
7,4,2017-02-01,19
7,4,2017-02-02,15
7,4,2017-02-03,30
7,4,2017-02-04,29
7,4,2017-02-05,31
7,4,2017-02-06,8
7,4,2017-02-07,7
7,4,2017-02-08,5
7,4,2017-02-09,3
