year,term,time,sales
8,3,2017-03-31,11072
8,3,2017-04-01,7529
8,3,2017-04-02,3405
8,3,2017-04-03,3231
8,3,2017-04-04,3838
8,3,2017-04-05,279
8,3,2017-04-06,402
8,3,2017-04-07,278
8,3,2017-04-08,175
8,3,2017-04-09,152
8,3,2017-04-10,105
8,3,2017-04-11,81
8,3,2017-04-12,57
8,3,2017-04-13,56
8,3,2017-04-14,45
8,3,2017-04-15,71
8,3,2017-04-16,86
8,3,2017-04-17,55
8,3,2017-04-18,42
8,3,2017-04-19,37
8,3,2017-04-20,42
8,3,2017-04-21,48
8,3,2017-04-22,56
8,3,2017-04-23,55
8,3,2017-04-24,48
8,3,2017-04-25,32
8,3,2017-04-26,49
8,3,2017-04-27,30
8,3,2017-04-28,30
8,3,2017-04-29,28
8,3,2017-04-30,33
8,3,2017-05-01,51
8,3,2017-05-02,64
8,3,2017-05-03,52
8,3,2017-05-04,36
8,3,2017-05-05,64
8,3,2017-05-06,101
8,3,2017-05-07,89
8,3,2017-05-08,76
8,3,2017-05-09,57
8,3,2017-05-10,65
8,3,2017-05-11,75
8,3,2017-05-12,76
8,3,2017-05-13,115
8,3,2017-05-14,185
8,3,2017-05-15,235
8,3,2017-05-16,69
8,3,2017-05-17,62
8,3,2017-05-18,72
8,3,2017-05-19,59
8,3,2017-05-20,98
8,3,2017-05-21,149
8,3,2017-05-22,133
8,3,2017-05-23,200
8,3,2017-05-24,310
8,3,2017-05-25,688
8,3,2017-06-01,5539
8,3,2017-06-02,1943
8,3,2017-06-03,1039
8,3,2017-06-04,875
8,3,2017-06-05,559
8,3,2017-06-06,364
8,3,2017-06-07,321
8,3,2017-06-08,245
8,3,2017-06-09,307
8,3,2017-06-10,352
8,3,2017-06-11,385
8,3,2017-06-12,221
8,3,2017-06-13,217
8,3,2017-06-14,200
8,3,2017-06-15,177
8,3,2017-06-16,208
8,3,2017-06-17,345
8,3,2017-06-18,318
8,3,2017-06-19,213
8,3,2017-06-20,189
8,3,2017-06-21,194
8,3,2017-06-22,161
8,3,2017-06-23,202
8,3,2017-06-24,293
8,3,2017-06-25,332
8,3,2017-06-26,263
8,3,2017-06-27,252
8,3,2017-06-28,261
8,3,2017-06-29,269
8,3,2017-06-30,316
8,3,2017-07-01,656
8,3,2017-07-02,640
8,3,2017-07-03,458
8,3,2017-07-04,336
8,3,2017-07-05,309
8,3,2017-07-06,428
8,3,2017-07-07,473
8,3,2017-07-08,716
8,3,2017-07-09,712
8,3,2017-07-10,697
8,3,2017-07-11,760
8,3,2017-07-12,1094
8,3,2017-07-13,1085
8,3,2017-07-14,2061
8,3,2017-07-15,1662
8,3,2017-07-16,1816
8,3,2017-07-17,1930
8,3,2017-07-18,2204
8,3,2017-07-19,1842
8,3,2017-07-20,1915
8,3,2017-07-21,1489
8,3,2017-07-22,1457
8,3,2017-07-23,1697
8,3,2017-07-24,1481
8,3,2017-07-25,2284
8,3,2017-07-26,2073
8,3,2017-07-27,3881
8,3,2017-07-28,3038
8,3,2017-07-29,2854
8,3,2017-07-30,2415
8,3,2017-07-31,2254
8,3,2017-08-01,2502
8,3,2017-08-02,2483
8,3,2017-08-03,2262
8,3,2017-08-04,2125
8,3,2017-08-05,2373
8,3,2017-08-06,2983
8,3,2017-08-07,3141
8,3,2017-08-08,2959
8,3,2017-08-09,3866
8,3,2017-08-10,2935
8,3,2017-08-11,2472
8,3,2017-08-12,2494
8,3,2017-08-13,2700
8,3,2017-08-14,2439
8,3,2017-08-15,2540
8,3,2017-08-16,2173
8,3,2017-08-17,2057
8,3,2017-08-18,1796
8,3,2017-08-19,1772
8,3,2017-08-20,2079
8,3,2017-08-21,1954
8,3,2017-08-22,2344
8,3,2017-08-23,2197
8,3,2017-08-24,1991
8,3,2017-08-25,1584
8,3,2017-08-26,1925
8,3,2017-08-27,2286
8,3,2017-08-28,2249
8,3,2017-08-29,1974
8,3,2017-08-30,2220
8,3,2017-08-31,2481
8,3,2017-09-01,2696
8,3,2017-09-02,3776
8,3,2017-09-03,5181
8,3,2017-09-04,3693
8,3,2017-09-05,1118
8,3,2017-09-06,1083
8,3,2017-09-07,1170
8,3,2017-09-08,1584
8,3,2017-09-09,2244
8,3,2017-09-10,1809
8,3,2017-09-11,855
8,3,2017-09-12,680
8,3,2017-09-13,676
8,3,2017-09-14,735
8,3,2017-09-15,1077
8,3,2017-09-16,1573
8,3,2017-09-17,1191
8,3,2017-09-18,533
8,3,2017-09-19,520
8,3,2017-09-20,486
8,3,2017-09-21,478
8,3,2017-09-22,660
8,3,2017-09-23,1051
8,3,2017-09-24,840
8,3,2017-09-25,387
8,3,2017-09-26,354
8,3,2017-09-27,344
8,3,2017-09-28,290
8,3,2017-09-29,295
8,3,2017-09-30,361
8,3,2017-10-01,406
8,3,2017-10-02,333
8,3,2017-10-03,333
8,3,2017-10-04,218
8,3,2017-10-05,277
8,3,2017-10-06,407
8,3,2017-10-07,476
8,3,2017-10-08,527
8,3,2017-10-09,335
8,3,2017-10-10,369
8,3,2017-10-11,6
