year,term,time,sales
7,1,2016-11-01,16
7,1,2016-11-02,64
7,1,2016-11-03,22
7,1,2016-11-04,25
7,1,2016-11-05,22
7,1,2016-11-06,22
7,1,2016-11-07,11
7,1,2016-11-08,14
7,1,2016-11-09,46
7,1,2016-11-10,13759
7,1,2016-11-11,9770
7,1,2016-11-12,4368
7,1,2016-11-13,3992
7,1,2016-11-14,3606
7,1,2016-11-15,3563
7,1,2016-11-16,34
7,1,2016-11-17,29
7,1,2016-11-18,78
7,1,2016-11-19,28
7,1,2016-11-20,25
7,1,2016-11-21,17
7,1,2016-11-22,4
7,1,2016-11-23,12
7,1,2016-11-24,11
7,1,2016-11-25,13
7,1,2016-11-26,13
7,1,2016-11-27,9
7,1,2016-11-28,6
7,1,2016-11-29,10
7,1,2016-11-30,7
7,1,2016-12-01,11
7,1,2016-12-02,11
7,1,2016-12-03,10
7,1,2016-12-04,12
7,1,2016-12-05,15
7,1,2016-12-06,5
7,1,2016-12-07,12
7,1,2016-12-08,22
7,1,2016-12-09,33
7,1,2016-12-12,4751
7,1,2016-12-13,560
7,1,2016-12-14,300
7,1,2016-12-15,279
7,1,2016-12-16,220
7,1,2016-12-17,260
7,1,2016-12-18,216
7,1,2016-12-19,174
7,1,2016-12-20,113
7,1,2016-12-21,134
7,1,2016-12-22,108
7,1,2016-12-23,121
7,1,2016-12-24,201
7,1,2016-12-25,271
7,1,2016-12-26,298
7,1,2016-12-27,100
7,1,2016-12-28,104
7,1,2016-12-29,69
7,1,2016-12-30,60
7,1,2016-12-31,110
7,1,2017-01-01,96
7,1,2017-01-02,121
7,1,2017-01-03,96
7,1,2017-01-04,93
7,1,2017-01-05,112
7,1,2017-01-06,285
7,1,2017-01-07,181
7,1,2017-01-08,179
7,1,2017-01-09,168
7,1,2017-01-10,135
7,1,2017-01-11,166
7,1,2017-01-12,230
7,1,2017-01-13,225
7,1,2017-01-14,246
7,1,2017-01-15,357
7,1,2017-01-16,365
7,1,2017-01-17,726
7,1,2017-01-18,940
7,1,2017-01-19,1068
7,1,2017-01-20,952
7,1,2017-01-21,1107
7,1,2017-01-22,908
7,1,2017-01-23,946
7,1,2017-01-24,1034
7,1,2017-01-25,954
7,1,2017-01-26,401
7,1,2017-01-27,94
7,1,2017-01-28,72
7,1,2017-01-29,121
7,1,2017-01-30,146
7,1,2017-01-31,191
7,1,2017-02-01,590
7,1,2017-02-02,919
7,1,2017-02-03,1330
7,1,2017-02-04,1199
7,1,2017-02-05,1556
7,1,2017-02-06,1965
7,1,2017-02-07,1838
7,1,2017-02-08,1488
7,1,2017-02-09,1431
7,1,2017-02-10,1307
7,1,2017-02-11,1316
7,1,2017-02-12,1363
7,1,2017-02-13,1089
7,1,2017-02-14,875
7,1,2017-02-15,898
7,1,2017-02-16,832
7,1,2017-02-17,1042
7,1,2017-02-18,1448
7,1,2017-02-19,1571
7,1,2017-02-20,1363
7,1,2017-02-21,478
7,1,2017-02-22,426
7,1,2017-02-23,496
7,1,2017-02-24,585
7,1,2017-02-25,722
7,1,2017-02-26,502
7,1,2017-02-27,318
7,1,2017-02-28,237
7,1,2017-03-01,205
7,1,2017-03-02,182
7,1,2017-03-03,246
7,1,2017-03-04,398
7,1,2017-03-05,367
7,1,2017-03-06,173
7,1,2017-03-07,142
7,1,2017-03-08,116
7,1,2017-03-09,129
7,1,2017-03-10,204
7,1,2017-03-11,261
7,1,2017-03-12,238
7,1,2017-03-13,144
7,1,2017-03-14,134
7,1,2017-03-15,101
7,1,2017-03-16,112
7,1,2017-03-17,184
7,1,2017-03-18,234
7,1,2017-03-19,273
7,1,2017-03-20,155
7,1,2017-03-21,133
7,1,2017-03-22,123
7,1,2017-03-23,195
7,1,2017-03-24,205
7,1,2017-03-25,288
7,1,2017-03-26,250
7,1,2017-03-27,160
7,1,2017-03-28,149
7,1,2017-03-29,109
7,1,2017-03-30,124
7,1,2017-03-31,197
7,1,2017-04-01,148
7,1,2017-04-02,180
7,1,2017-04-03,172
7,1,2017-04-04,180
7,1,2017-04-05,106
7,1,2017-04-06,101
7,1,2017-04-07,103
7,1,2017-04-08,145
7,1,2017-04-09,148
7,1,2017-04-10,92
7,1,2017-04-11,78
7,1,2017-04-12,71
7,1,2017-04-13,73
7,1,2017-04-14,82
7,1,2017-04-15,122
7,1,2017-04-16,150
7,1,2017-04-17,119
7,1,2017-04-18,7
7,1,2017-04-19,7
7,1,2017-04-20,6
7,1,2017-04-21,4
7,1,2017-04-22,17
7,1,2017-04-23,22
7,1,2017-04-24,13
7,1,2017-04-25,17
7,1,2017-04-26,10
7,1,2017-04-27,12
7,1,2017-04-28,7
7,1,2017-04-29,8
7,1,2017-04-30,8
7,1,2017-05-01,4
7,1,2017-05-02,3
7,1,2017-05-03,6
7,1,2017-05-04,11
7,1,2017-05-05,16
7,1,2017-05-06,19
7,1,2017-05-07,16
7,1,2017-05-08,12
7,1,2017-05-09,11
7,1,2017-05-10,6
7,1,2017-05-11,12
7,1,2017-05-12,13
7,1,2017-05-13,32
7,1,2017-05-14,35
7,1,2017-05-15,42
7,1,2017-05-16,1
7,1,2017-06-05,1
