year,term,time,sales
7,2,2016-04-01,1940
7,2,2016-04-02,872
7,2,2016-04-03,525
7,2,2016-04-04,600
7,2,2016-04-05,1295
7,2,2016-04-06,7518
7,2,2016-04-07,1580
7,2,2016-04-08,1003
7,2,2016-04-09,1142
7,2,2016-04-10,908
7,2,2016-04-11,712
7,2,2016-04-12,456
7,2,2016-04-13,420
7,2,2016-04-14,446
7,2,2016-04-15,434
7,2,2016-04-16,654
7,2,2016-04-17,738
7,2,2016-04-18,580
7,2,2016-04-19,653
7,2,2016-04-20,706
7,2,2016-04-21,780
7,2,2016-04-22,1020
7,2,2016-04-23,1790
7,2,2016-04-24,2750
7,2,2016-04-25,4009
7,2,2016-04-26,125
7,2,2016-04-27,84
7,2,2016-04-28,67
7,2,2016-04-29,68
7,2,2016-04-30,60
7,2,2016-05-01,63
7,2,2016-05-02,79
7,2,2016-05-03,75
7,2,2016-05-04,63
7,2,2016-05-05,88
7,2,2016-05-06,84
7,2,2016-05-07,124
7,2,2016-05-08,112
7,2,2016-05-09,106
7,2,2016-05-10,109
7,2,2016-05-11,98
7,2,2016-05-12,101
7,2,2016-05-13,124
7,2,2016-05-14,182
7,2,2016-05-15,309
7,2,2016-05-16,375
7,2,2016-05-17,80
7,2,2016-05-18,73
7,2,2016-05-19,65
7,2,2016-05-20,79
7,2,2016-05-21,158
7,2,2016-05-22,133
7,2,2016-05-23,108
7,2,2016-05-24,93
7,2,2016-05-25,97
7,2,2016-05-26,95
7,2,2016-05-27,103
7,2,2016-05-28,113
7,2,2016-05-29,152
7,2,2016-05-30,145
7,2,2016-05-31,179
7,2,2016-06-01,110
7,2,2016-06-02,242
7,2,2016-06-03,255
7,2,2016-06-04,265
7,2,2016-06-05,285
7,2,2016-06-06,265
7,2,2016-06-07,203
7,2,2016-06-08,200
7,2,2016-06-09,174
7,2,2016-06-10,178
7,2,2016-06-11,261
7,2,2016-06-12,299
7,2,2016-06-13,319
7,2,2016-06-14,173
7,2,2016-06-15,188
7,2,2016-06-16,165
7,2,2016-06-17,206
7,2,2016-06-18,221
7,2,2016-06-19,250
7,2,2016-06-20,263
7,2,2016-06-21,255
7,2,2016-06-22,249
7,2,2016-06-23,261
7,2,2016-06-24,534
7,2,2016-06-25,424
7,2,2016-06-26,450
7,2,2016-06-27,472
7,2,2016-06-28,394
7,2,2016-06-29,366
7,2,2016-06-30,414
7,2,2016-07-01,443
7,2,2016-07-02,415
7,2,2016-07-03,465
7,2,2016-07-04,388
7,2,2016-07-05,399
7,2,2016-07-06,382
7,2,2016-07-07,382
7,2,2016-07-08,385
7,2,2016-07-09,454
7,2,2016-07-10,402
7,2,2016-07-11,375
7,2,2016-07-12,347
7,2,2016-07-13,334
7,2,2016-07-14,341
7,2,2016-07-15,269
7,2,2016-07-16,270
7,2,2016-07-17,300
7,2,2016-07-18,323
7,2,2016-07-19,313
7,2,2016-07-20,332
7,2,2016-07-21,404
7,2,2016-07-22,206
7,2,2016-07-23,249
7,2,2016-07-24,240
7,2,2016-07-25,253
7,2,2016-07-26,211
7,2,2016-07-27,230
7,2,2016-07-28,256
7,2,2016-07-29,230
7,2,2016-07-30,198
7,2,2016-07-31,253
7,2,2016-08-01,345
7,2,2016-08-02,377
7,2,2016-08-03,151
7,2,2016-08-04,107
7,2,2016-08-05,108
7,2,2016-08-06,104
7,2,2016-08-07,98
7,2,2016-08-08,93
7,2,2016-08-09,75
7,2,2016-08-10,106
7,2,2016-08-11,100
7,2,2016-08-12,78
7,2,2016-08-13,79
7,2,2016-08-14,106
7,2,2016-08-16,1
7,2,2016-08-18,1
